Positive,Negative,Neutral
“*long*eur*”,“*short*eur*”,“*no?trend*”
“*eur?usd*long*”,“*eur?usd*short*”,“*hesitation*”
"""*eur*rally*""","""*eur*downgrade*""","""*remain*neutral*”"
"""*eur?usd*way?up*”","""*eur?usd*way?down*”","“*steady*"""
"“*risky*long?dollar*""","“*risky*short?dollar*""","""*flat*”"
"“*risky*long?usd*""","“*risky*short?usd*""",“*need?to?see*”
"“*risky*short?eur*""","“*risky*long?eur*""",“*need?to?confirm*”
“*eur*bull*”,"""*eur*bear*""",“*not?bullish*”
“*bull*eur*”,“*bear*eur*”,“*no?bullish*”
“*bear*dollar*”,“*bull*dollar*”,“*not?bearish*”
“*bear*usd*”,“*bull*usd*”,“*no?bearish*”
"""*eur*strengthen*""","""*eur*weak*""","""*bounce*”"
“*eur?usd*climb*”,“*eur?usd*sink*”,"""*careful?short*”"
“*eur*up*”,"""*eur*down*""","""*careful?long*”"
"""*up*eur*""","""*down*eur*""",“*neutral?on??eur*”
"""*eur*rise*""","""*eur*fall*""",“*wait*”
"""*eur*recover*""","""*eur*slump*""",“*not*trading*”
“*push*eur?usd*”,"""*eur?usd*pip*""",“*looking?for*”
"""*buy*eur*""","""*low*eur?usd*""",“*neutral?on?eur*”
"""*eur*buy*""","""*sell*eur*""",“*not*trading*”
“*potential?buy*”,"""*eur*sell*""",
,"""*sell?call*eur?usd*""",
,"“*eur*outperform*reversal*""",
