,Negative
0,+short.fxe+
1,+buy.uup+
2,+eurusd+buying.put+
3,+short..fxe+
4,+buy..uup+
5,+eur.usd+buying.put+
6,+eur+overbought+
7,+expect+move+lower+
8,+descending+triangle+
9,+sell.resistance+
10,+selling.resistance+
11,+down+accelerate+trend+
12,+buy.euo+
13,+eurusd.will.fall+
14,+staying.short+eur.usd+
15,+buy..euo+
16,+eur.usd.will.fall+
17,+staying.short+eurusd+
18,+fade+rally+
19,+eur+overpriced+
20,+signals.sell+eur+
21,+bias+down+
22,+eur+overvalued+
23,+stall+retrace+
24,+top.is.in+
25,+deeper.correction+
26,+sticking+with+short+
27,+sell+bounce+
28,+will+see+lower+
29,+prepare+eur+downturn+
30,+recovery+fail+
31,+bear+intact+
32,+eyes+downside+target+
33,+eur+look.bad+
34,+eur.usd+has+topped+
35,+buytheu.s.dollar+
36,+eur+looks.bad+
37,+eurusd+has+topped+
38,+buy.the.dollar+
39,+potential.sell+
40,+downside+remain+
41,+eur+eyes+downside+
42,+stay..eurusd.short+
43,+eur.usd+bias+downside+
44,+increase+eur.usd.short+
45,+stay.eurusd.short+
46,+eur.usd+bias+negative+
47,+decrease+eur.usd.short+
48,+stay..eur.usd.short+
49,+eurusd+bias+downside+
50,+hold+eur\usd.short+
51,+stay.eur.usd.short+
52,+eurusd+bias+negative+
53,+keep+eur\usd.short+
54,+eurusd+over.bought+
55,+further.selling+
56,+increase+eurusd.short+
57,+euro+over.bought+
58,+further.eurusd.selling+
59,+increase+short.eurusd+
60,+eur.usd+over.bought+
61,+further..eurusd.selling+
62,+increase+eur.usd.short+
63,+eurusd+overbought+
64,+further.eur.usd.selling+
65,+increase+short.eur.usd+
66,+euro+overbought+
67,+further..eur.usd.selling+
68,+will+head+lower+
69,+eur.usd+overbought+
70,+will+selling.the.eur+
71,+heads+lower+
72,+look+to+sell+
73,+am.selling.the.eur+
74,+heading+lower+
75,+look+to+buy+put+
76,+currently.short..eurusd+
77,+increase+eurusd.short+
78,+currently.short.eurusd+
79,+decrease+eurusd.short+
80,+currently.short..eur.usd+
81,+hold+eurusd.short+
82,+currently.short.eur.usd+
