,Positive
0,+buy..fxe+
1,+long..fxe+
2,+buy.signal+
3,+upside+breakout+
4,+eur.usd+bull+intact+
5,+expect+move+higher+
6,+oversold+eur+
7,+eur.usd+oversold+
8,+ascending+triangle+
9,+increase+bullish+bet+
10,+bought+rebound+
11,+will+move+higher+today+
12,+bought+dip+
13,+bought+bounce+
14,+will+higher+today+
15,+should.buy+dip+
16,+rally+has+leg+
17,+buy+above+moving+average+
18,+tradable+bottom+
19,+eur.usd+good.buy+
20,+raise+eur+exposure+
21,+will+see+higher+
22,+eur.usd+bias+upside+
23,+eur.usd.will.rise+
24,+going.to+see+higher+
25,+eur.usd+bias+positive+
26,+eur.usd.will.continue.to.rise+
27,+euro.bottoming+
28,+staying.long.eur.usd+
29,+eur.usd+heads+higher+
30,+eur.usd.bottoming+
31,+staying.long..eur.usd+
32,+eur.usd+heading+higher+
33,+bottom.is.in+
34,+oversold+bounce+
35,+sticking+with+long+
36,+potential.buy+
37,+resume+bull+trend+
38,+dollar+further+loss+
39,+long.favor+
40,+suggest+bull+control+
41,+suggest+advance+continue+
42,+spark+eur+buy+
43,+eurusd.could.bottom+
44,+further+rise+ahead+
45,+initiat+eur+buy+
46,+euro.could.bottom+
47,+further+advance+ahead+
48,+stay..eurusd.long+
49,+currently.long..eurusd+
50,+increase+eurusd.long+
51,+stay.eurusd.long+
52,+currently.long.eurusd+
53,+increase+long.eurusd+
54,+stay..eur.usd.long+
55,+currently.long..eur.usd+
56,+increase+eur\usd.long+
57,+stay.eur.usd.long+
58,+currently.long.eur.usd+
59,+increase+long.eur\usd+
60,+increase+eurusd.long+
61,+decrease+eurusd.long+
62,+hold+eurusd.long+
63,+keep+eurusd.long+
64,+increase+eur.usd.long+
65,+decrease+eur.usd.long+
66,+hold+eur.usd.long+
67,"+keep+eur.usd.long+"""
